lender_id,lender_name,lender_type,preferred_deal_size_min_usd,preferred_deal_size_max_usd,preferred_industries,preferred_regions,preferred_loan_types,risk_appetite,specialization_notes,avg_funding_timeline_days,indicative_interest_rate_min_pct,indicative_interest_rate_max_pct,historical_success_rate_pct,contact_person,contact_email,website
LDR0017,"Pena, Ruiz and Moran",Peer-to-Peer Lender,100000,638732,E-commerce; Cybersecurity; Agriculture & AgTech,North America; LATAM (Latin America),Term Loan (Secured); Asset-Backed Loan; Series A,Venture,Specializes as a peer-to-peer lender. Primary industry focus: Agriculture & AgTech; E-commerce. Geographic scope includes: LATAM (Latin America). Favored investment/loan types: Series A; Term Loan (Secured). General risk appetite: Venture. May require detailed financial projections.,115,4.27,9.44,45.0,Caleb Hardy,walshjames@cline.net,https://mueller.biz/
LDR0018,Vargas-Lewis Ventures,Impact Investor,1000000,4748352,Renewable Energy; Automotive; Finance,LATAM (Latin America); North America,Strategic Investment; Project Finance,Calculated Growth,Specializes as a impact investor. Primary industry focus: Automotive; Renewable Energy. Geographic scope includes: LATAM (Latin America). Favored investment/loan types: Project Finance; Strategic Investment. General risk appetite: Calculated Growth.,21,,,54.0,Joseph Gibson,thomasdawn@stewart.com,http://moore-miller.com/
LDR0019,Huffman Inc Capital,Investment Fund,5000000,43599522,Technology; Logistics & Supply Chain,Nordics; Western Europe,Term Loan (Unsecured); Convertible Note; SBA Loan; Seed Round; Pre-Seed Funding,Medium-High,Specializes as a investment fund. Primary industry focus: Logistics & Supply Chain; Technology. Favored investment/loan types: Seed Round. General risk appetite: Medium-High. Keen interest in scalable platforms. Known for monetize interactive architectures. May require strong management team.,61,3.55,5.01,42.0,Carol Swanson,brittany55@koch-hawkins.com,http://www.cortez.net/
LDR0020,Riley Ltd,Mezzanine Fund,5000000,21029702,Education; Technology; Professional Services; AI & Machine Learning,APAC (Asia-Pacific); LATAM (Latin America),Project Finance; Convertible Note; Series B; Growth Equity; Bridge Loan,Medium,Specializes as a mezzanine fund. Primary industry focus: Professional Services. Geographic scope includes: APAC (Asia-Pacific). General risk appetite: Medium. Keen interest in IP-rich ventures. Known for benchmark world-class info-mediaries. May require board seat.,74,11.34,13.62,40.0,Mrs. Alison Holmes,mikebarton@butler.com,http://johnson-mendoza.com/
LDR0021,Campbell PLC Finance,Corporate Venture Capital,1000000,2757533,Manufacturing; Logistics & Supply Chain; Gaming; Hospitality & Tourism,APAC (Asia-Pacific); LATAM (Latin America),Bridge Loan; Line of Credit; Term Loan (Secured); Pre-Seed Funding; Equity Crowdfunding,Low,Specializes as a corporate venture capital. Primary industry focus: Gaming; Logistics & Supply Chain. Geographic scope includes: APAC (Asia-Pacific). Favored investment/loan types: Equity Crowdfunding. General risk appetite: Low. Known for incentivize best-of-breed applications. May require strong management team.,51,8.18,13.93,57.99999999999999,Thomas Williams,leechristina@morgan.com,http://bailey.net/
LDR0022,Farmer and Sons Bank,Specialty Finance Company,1000000,9635264,Logistics & Supply Chain; Construction & Infrastructure; Consumer Goods,APAC (Asia-Pacific); North America,Strategic Investment; Equity Crowdfunding; Convertible Note,High,Specializes as a specialty finance company. Primary industry focus: Logistics & Supply Chain; Construction & Infrastructure. Geographic scope includes: North America. General risk appetite: High. May require strong management team.,88,,,60.0,Crystal White,rfowler@carter-hines.net,http://www.middleton.com/
LDR0023,Lee-Hughes,Private Equity,10000000,66782922,Automotive; Deep Tech; Logistics & Supply Chain; Manufacturing,East Asia,Asset-Backed Loan; Pre-Seed Funding,Calculated Growth,Specializes as a private equity. Primary industry focus: Logistics & Supply Chain; Manufacturing. Geographic scope includes: East Asia. General risk appetite: Calculated Growth. Typically invests in later-stage companies.,137,11.97,15.39,30.0,Shannon Barker,shannon03@brown.biz,https://marquez.org/
LDR0024,"Smith, Freeman and Lewis",Investment Fund,10000000,50335879,Professional Services; Technology; Aerospace & Defense; Construction & Infrastructure,APAC (Asia-Pacific),SBA Loan; Growth Equity; Pre-Seed Funding; Venture Debt; Term Loan (Secured),Opportunistic,Specializes as a investment fund. Primary industry focus: Construction & Infrastructure; Aerospace & Defense. Geographic scope includes: APAC (Asia-Pacific). General risk appetite: Opportunistic. Keen interest in disruptive technologies. May require board seat.,94,5.46,7.41,68.0,Michael Hernandez,daniel75@miller-green.com,https://white-martinez.com/
LDR0025,"Griffin, Byrd and Adkins",Private Equity,5000000,20672590,FinTech,UK & Ireland,Seed Round; Asset-Backed Loan; Equity Crowdfunding,High,Specializes as a private equity. Primary industry focus: FinTech. General risk appetite: High. Typically invests in early-stage companies. Keen interest in IP-rich ventures. Known for harness impactful niches.,83,7.15,12.93,24.0,Thomas King,jessica48@holt-taylor.biz,http://english.biz/
LDR0026,Lopez-Dunn Ventures,Private Equity,5000000,18630155,SaaS; FinTech; Logistics & Supply Chain,Australia/New Zealand; USA - West Coast; USA - South,Series B; Venture Debt,Medium,Specializes as a private equity. Primary industry focus: Logistics & Supply Chain; SaaS. Geographic scope includes: Australia/New Zealand. General risk appetite: Medium. Typically invests in scalable technology companies. Keen interest in disruptive technologies. Known for harness front-end infrastructures.,78,9.32,13.69,73.0,Savannah Ramos,justinmartinez@perry.biz,https://www.howard.com/
LDR0027,Garcia and Sons Trust,Mezzanine Fund,1000000,8092811,Education; SaaS; Gaming; EdTech; Professional Services,APAC (Asia-Pacific),SBA Loan; Bridge Loan; Invoice Financing; Series B,Medium,Specializes as a mezzanine fund. Primary industry focus: Professional Services; SaaS. Geographic scope includes: APAC (Asia-Pacific). Favored investment/loan types: SBA Loan. General risk appetite: Medium. Keen interest in IP-rich ventures. May require strong management team.,61,8.58,16.51,18.0,Jeff Richards,stephenweaver@gonzalez.net,http://daniel.com/
LDR0028,Stout-Jones Trust,Peer-to-Peer Lender,500000,2022115,Construction & Infrastructure; Finance; Automotive,LATAM (Latin America),Term Loan (Secured); Line of Credit,Medium-High,Specializes as a peer-to-peer lender. Primary industry focus: Construction & Infrastructure; Finance. Geographic scope includes: LATAM (Latin America). Favored investment/loan types: Term Loan (Secured); Line of Credit. General risk appetite: Medium-High. Known for aggregate value-added convergence. May require strong management team.,68,10.54,17.77,71.0,Emily Hughes,christina10@yates.com,https://jackson.net/
LDR0029,Hess-Frey,Investment Fund,10000000,79499939,Real Estate; EdTech; Education; AI & Machine Learning; Professional Services,"North America; EMEA (Europe, Middle East, Africa)",SBA Loan; Equity Crowdfunding; Project Finance,Low,Specializes as a investment fund. Primary industry focus: AI & Machine Learning. Favored investment/loan types: Project Finance; SBA Loan. General risk appetite: Low. Keen interest in B2B SaaS models. Known for synergize strategic content. May require strong management team.,94,3.76,5.5,40.0,Samantha Vincent,heathergonzalez@reeves.com,https://www.harmon.org/
LDR0030,"Chambers, Rios and Carter Trust",Investment Fund,5000000,48924297,AI & Machine Learning; Renewable Energy; SaaS; Logistics & Supply Chain,East Asia,Strategic Investment; Line of Credit; Growth Equity; Convertible Note,Low,Specializes as a investment fund. Primary industry focus: SaaS. Geographic scope includes: East Asia. Favored investment/loan types: Convertible Note. General risk appetite: Low. Keen interest in scalable platforms. May require clear exit strategy.,76,,,45.0,Shaun Williams,jillcox@jimenez-burgess.biz,https://www.schmidt-hogan.com/
LDR0031,Stephens-Bautista,Commercial Bank,500000,4752784,AI & Machine Learning,LATAM (Latin America); APAC (Asia-Pacific),Strategic Investment,Medium,Specializes as a commercial bank. Primary industry focus: AI & Machine Learning. Favored investment/loan types: Strategic Investment. General risk appetite: Medium. Keen interest in disruptive technologies. Known for evolve robust markets. May require detailed financial projections.,136,,,64.0,Ronald Harris,ehaley@anderson.org,http://hansen.com/
LDR0032,Welch Inc Trust,Specialty Finance Company,500000,1111508,Automotive,"EMEA (Europe, Middle East, Africa)",Revolving Credit Facility; Venture Debt; Asset-Backed Loan; Series C+,Medium,"Specializes as a specialty finance company. Primary industry focus: Automotive. Geographic scope includes: EMEA (Europe, Middle East, Africa). Favored investment/loan types: Venture Debt. General risk appetite: Medium. May require clear exit strategy.",117,6.23,10.32,48.0,Jamie Lynch,collinsyolanda@gray-perez.com,http://www.pitts-meyers.org/
LDR0033,Reynolds Ltd Ventures,Commercial Bank,100000,841013,EdTech; Construction & Infrastructure; Education,Western Europe; Sub-Saharan Africa,Mezzanine Debt; Seed Round; Equity Crowdfunding; Asset-Backed Loan; Revolving Credit Facility,Venture,Specializes as a commercial bank. Primary industry focus: EdTech. Geographic scope includes: Western Europe. Favored investment/loan types: Seed Round; Revolving Credit Facility. General risk appetite: Venture. May require strong management team.,146,3.42,5.38,35.0,Kevin Bell,kyle40@thomas.org,https://hardin.org/
LDR0034,Bentley-Garcia,Angel Investor Group,50000,278389,Manufacturing; Agriculture & AgTech; FinTech; Professional Services,APAC (Asia-Pacific),Equity Crowdfunding; Term Loan (Secured); Pre-Seed Funding; Series B,Venture,Specializes as a angel investor group. Primary industry focus: Agriculture & AgTech. Geographic scope includes: APAC (Asia-Pacific). General risk appetite: Venture. Typically invests in scalable technology companies. Keen interest in scalable platforms. May require detailed financial projections.,89,6.97,11.41,39.0,Christian Smith,kimberly45@reid.com,https://www.gordon-johns.biz/
LDR0035,Reid Ltd Trust,Impact Investor,500000,2842243,Logistics & Supply Chain; HealthTech; Retail,North America,Series A; Mezzanine Debt,Opportunistic,Specializes as a impact investor. Primary industry focus: Retail. Geographic scope includes: North America. Favored investment/loan types: Mezzanine Debt; Series A. General risk appetite: Opportunistic. Known for redefine b2b experiences.,89,3.73,5.83,71.0,Lisa Garcia,brooksrobert@thomas.com,https://reyes.com/
LDR0036,Watts LLC Group,Angel Investor Group,50000,219106,Automotive,APAC (Asia-Pacific); North America,Mezzanine Debt; Bridge Loan; Term Loan (Secured); Venture Debt,Venture,Specializes as a angel investor group. Primary industry focus: Automotive. Favored investment/loan types: Venture Debt. General risk appetite: Venture. Typically invests in later-stage companies. Known for incubate front-end channels. May require detailed financial projections.,139,5.8,12.61,54.0,Dr. Michael Williams,janetwallace@briggs.biz,http://www.johnson.com/
LDR0037,Palmer-Murillo Investments,Development Finance Institution,100000,617373,Deep Tech,Global; North America,Invoice Financing; Line of Credit; Series C+,Medium,Specializes as a development finance institution. Primary industry focus: Deep Tech. Geographic scope includes: North America. General risk appetite: Medium. May require board seat.,141,,,75.0,Kara Lee,gregorysmith@smith.com,https://clayton-martinez.com/
LDR0038,"Oliver, Schmitt and Francis Group",Impact Investor,1000000,2947416,Cybersecurity; Construction & Infrastructure; Automotive; EdTech,Global,Growth Equity; Mezzanine Debt; Series B,Opportunistic,Specializes as a impact investor. Primary industry focus: Cybersecurity; EdTech. Geographic scope includes: Global. Favored investment/loan types: Mezzanine Debt; Series B. General risk appetite: Opportunistic. Known for transition frictionless technologies.,104,4.85,6.88,44.0,Mikayla Becker,travis49@fox.com,https://www.nguyen-evans.com/
LDR0039,"Jones, Harris and Sanchez",Corporate Venture Capital,5000000,45288420,Logistics & Supply Chain; Gaming,Global,Series C+; Growth Equity,Venture,Specializes as a corporate venture capital. Primary industry focus: Logistics & Supply Chain; Gaming. Geographic scope includes: Global. Favored investment/loan types: Growth Equity. General risk appetite: Venture.,56,,,13.0,Robert Spence,reyesjames@hardy-brown.com,http://www.torres-garner.biz/
LDR0040,Ramirez Group Partners,Specialty Finance Company,100000,907353,Aerospace & Defense; AI & Machine Learning; Finance,Canada; Middle East & North Africa (MENA),Asset-Backed Loan,Low,Specializes as a specialty finance company. Primary industry focus: Finance. Geographic scope includes: Middle East & North Africa (MENA). General risk appetite: Low. Keen interest in disruptive technologies. Known for enhance mission-critical roi. May require board seat.,69,2.61,7.69,11.0,Matthew Buchanan,marcus77@nguyen.biz,https://www.wagner.com/
LDR0041,"Mata, Maxwell and Trevino",Investment Fund,10000000,76811002,Technology,APAC (Asia-Pacific),SBA Loan,Medium,Specializes as a investment fund. Primary industry focus: Technology. Geographic scope includes: APAC (Asia-Pacific). Favored investment/loan types: SBA Loan. General risk appetite: Medium. Keen interest in disruptive technologies. May require board seat.,150,5.21,9.51,14.000000000000002,Travis Pace,anthony67@young.com,https://www.frye.com/
LDR0042,"Conner, Wiggins and Matthews Finance",Investment Fund,10000000,80711021,Education; Automotive; Healthcare; HealthTech; Retail,Middle East & North Africa (MENA); Canada,Line of Credit; Asset-Backed Loan; Series B,Medium-High,Specializes as a investment fund. Primary industry focus: Retail. Geographic scope includes: Canada. Favored investment/loan types: Line of Credit. General risk appetite: Medium-High. Known for harness bleeding-edge partnerships. May require clear exit strategy.,43,11.26,13.79,71.0,Barbara Reid,michael66@miller-cruz.org,https://www.curtis.com/
LDR0043,Wallace and Sons Finance,Investment Fund,10000000,75166835,Agriculture & AgTech; Construction & Infrastructure; FinTech; E-commerce; Automotive,USA - South; Southeast Asia,Series C+; Invoice Financing; Series A; Convertible Note; Pre-Seed Funding,Venture,Specializes as a investment fund. Primary industry focus: E-commerce; Agriculture & AgTech. Geographic scope includes: Southeast Asia. General risk appetite: Venture. Keen interest in scalable platforms. Known for e-enable one-to-one info-mediaries. May require board seat.,94,,,53.0,Sara Walker,tracybarnes@howard.biz,https://dougherty.info/
LDR0044,Moreno Inc Advisors,Peer-to-Peer Lender,1000000,7264822,Renewable Energy; Automotive,Global,Invoice Financing; Seed Round,Venture,Specializes as a peer-to-peer lender. Primary industry focus: Renewable Energy; Automotive. Geographic scope includes: Global. General risk appetite: Venture. May require board seat.,134,,,22.0,Jeffrey Eaton MD,brian83@hudson.com,https://washington.com/
LDR0045,Lozano LLC Group,Private Equity,5000000,43865696,Aerospace & Defense; E-commerce; FinTech; Media & Entertainment; Renewable Energy,"LATAM (Latin America); EMEA (Europe, Middle East, Africa)",Bridge Loan; Revolving Credit Facility; Series C+; Equity Crowdfunding,Calculated Growth,Specializes as a private equity. Primary industry focus: FinTech. Geographic scope includes: LATAM (Latin America). General risk appetite: Calculated Growth. Typically invests in early-stage companies. Keen interest in scalable platforms. Known for redefine frictionless markets. May require strong management team.,118,6.85,9.74,47.0,Joann Gonzalez,cunninghamstephanie@green.info,http://thompson.com/
LDR0046,"Lowe, Cruz and Hogan Trust",Development Finance Institution,5000000,45760345,Gaming,North America,SBA Loan; Growth Equity; Bridge Loan,Medium-High,Specializes as a development finance institution. Primary industry focus: Gaming. Geographic scope includes: North America. General risk appetite: Medium-High. May require detailed financial projections.,31,6.76,14.46,10.0,Edward Mcintyre,flawson@fitzgerald.org,http://mcfarland-griffith.com/
LDR0047,"Mitchell, Patterson and Montoya",Commercial Bank,5000000,20085110,EdTech; Healthcare; Consumer Goods,Global,Revolving Credit Facility; Project Finance,Low,Specializes as a commercial bank. Primary industry focus: EdTech; Consumer Goods. Geographic scope includes: Global. General risk appetite: Low. Known for re-contextualize transparent networks.,71,6.96,12.44,44.0,Terri Barber,harrisoncassandra@palmer.biz,http://moreno-harper.org/
LDR0048,Palmer-Torres,Venture Capital,500000,5067522,Aerospace & Defense; E-commerce; Automotive,"EMEA (Europe, Middle East, Africa)",Term Loan (Unsecured); Convertible Note,Low,"Specializes as a venture capital. Primary industry focus: Automotive. Geographic scope includes: EMEA (Europe, Middle East, Africa). Favored investment/loan types: Term Loan (Unsecured); Convertible Note. General risk appetite: Low. Typically invests in scalable technology companies. May require detailed financial projections.",63,6.47,14.19,54.0,Stephanie Rios,ycoleman@reese.com,https://middleton-johnson.com/
LDR0049,Cook-Johnson Advisors,Private Equity,5000000,21670808,Real Estate; Healthcare; AI & Machine Learning; Biotechnology; Cybersecurity,APAC (Asia-Pacific); North America,Venture Debt; Mezzanine Debt; Asset-Backed Loan; Term Loan (Secured); Strategic Investment,Medium-Low,Specializes as a private equity. Primary industry focus: Cybersecurity; Real Estate. Geographic scope includes: North America. Favored investment/loan types: Venture Debt; Asset-Backed Loan. General risk appetite: Medium-Low. Typically invests in early-stage companies. Keen interest in B2B SaaS models. May require board seat.,92,10.2,15.54,69.0,George Ellis,franciscindy@johnson-graham.com,http://gamble.biz/
LDR0050,Olson-Ford Partners,Credit Union,100000,845705,EdTech; Gaming; Deep Tech; Logistics & Supply Chain,Western Europe; Middle East & North Africa (MENA),Invoice Financing,Medium,Specializes as a credit union. Primary industry focus: EdTech. Geographic scope includes: Middle East & North Africa (MENA). Favored investment/loan types: Invoice Financing. General risk appetite: Medium. May require detailed financial projections.,66,,,17.0,Michael Sims,kellycooper@chapman.biz,https://www.bailey.com/
LDR0051,Harrell-Wolf Group,Angel Investor Group,250000,2323961,FinTech,LATAM (Latin America),Series B; Series A,Medium,Specializes as a angel investor group. Primary industry focus: FinTech. General risk appetite: Medium. Typically invests in growth-stage companies. Keen interest in B2B SaaS models.,47,,,38.0,Melissa Garrison,kaguirre@jensen-martinez.biz,http://www.thompson.com/
LDR0052,Murphy Ltd Capital,Commercial Bank,100000,469181,Media & Entertainment; Manufacturing,Australia/New Zealand; Sub-Saharan Africa; Canada,Venture Debt; Line of Credit,High,Specializes as a commercial bank. Primary industry focus: Manufacturing; Media & Entertainment. Favored investment/loan types: Venture Debt. General risk appetite: High. Known for syndicate distributed paradigms.,101,5.24,6.53,69.0,Nicole Byrd,emmaharris@joyce-macias.com,https://www.rodriguez-kelley.net/
LDR0053,Mccall-Faulkner Ventures,Credit Union,100000,1205130,Cybersecurity,USA - Midwest; Southeast Asia,Revolving Credit Facility; Asset-Backed Loan; Series A,Opportunistic,Specializes as a credit union. Primary industry focus: Cybersecurity. Geographic scope includes: Southeast Asia. Favored investment/loan types: Asset-Backed Loan. General risk appetite: Opportunistic. May require detailed financial projections.,106,2.06,6.59,46.0,Jennifer Cooley,pdaniel@erickson-davis.com,http://www.davis.org/
LDR0054,Smith Group Advisors,Mezzanine Fund,1000000,7518020,Automotive; Retail; Finance,APAC (Asia-Pacific); LATAM (Latin America),Pre-Seed Funding; Term Loan (Unsecured); Revolving Credit Facility,High,Specializes as a mezzanine fund. Primary industry focus: Finance; Automotive. Geographic scope includes: APAC (Asia-Pacific). Favored investment/loan types: Pre-Seed Funding; Revolving Credit Facility. General risk appetite: High. Known for seize synergistic e-commerce.,133,10.55,16.35,74.0,Robin Nelson,holmeschristian@leonard.com,http://www.miles.com/
LDR0055,"Caldwell, Davis and Miller Capital",Private Equity,25000000,127716061,Real Estate; HealthTech; Professional Services,LATAM (Latin America); Global,Project Finance; Term Loan (Secured); Revolving Credit Facility,Low,Specializes as a private equity. Primary industry focus: HealthTech; Real Estate. Favored investment/loan types: Project Finance; Term Loan (Secured). General risk appetite: Low. Typically invests in later-stage companies.,114,3.21,5.82,73.0,Andrew Carter,kellirussell@lester.com,http://www.baldwin-harris.com/
LDR0056,"Rice, Lopez and Jackson",Specialty Finance Company,500000,1509465,Consumer Goods; Retail; Media & Entertainment,"EMEA (Europe, Middle East, Africa)",Series A; Convertible Note; Project Finance,Medium-Low,"Specializes as a specialty finance company. Primary industry focus: Consumer Goods; Media & Entertainment. Geographic scope includes: EMEA (Europe, Middle East, Africa). Favored investment/loan types: Project Finance; Series A. General risk appetite: Medium-Low.",92,,,35.0,James Stevens,annawilliams@edwards.com,https://martinez-clayton.com/
LDR0057,Myers-Brown Group,Impact Investor,1000000,9010227,Logistics & Supply Chain; Gaming; Consumer Goods; Technology; HealthTech,Global,Invoice Financing; Series B; Growth Equity; Revolving Credit Facility; Asset-Backed Loan,Venture,Specializes as a impact investor. Primary industry focus: Logistics & Supply Chain; Consumer Goods. Geographic scope includes: Global. General risk appetite: Venture. Keen interest in scalable platforms. May require board seat.,95,8.3,11.16,63.0,Trevor Guzman,rickysmith@hill.org,https://griffin.com/
LDR0058,Shea-Elliott,Venture Capital,500000,3883892,HealthTech,Nordics,Series B; Term Loan (Unsecured),Medium-Low,Specializes as a venture capital. Primary industry focus: HealthTech. Geographic scope includes: Nordics. General risk appetite: Medium-Low. Typically invests in scalable technology companies. May require board seat.,92,4.42,7.65,59.0,Kaylee Washington,barbaraburch@rogers.com,https://holland.com/
LDR0059,Frey-Wise,Private Equity,5000000,34560749,Gaming; Biotechnology; SaaS; Logistics & Supply Chain; Professional Services,UK & Ireland,Convertible Note,Medium,Specializes as a private equity. Primary industry focus: Biotechnology; Professional Services. Geographic scope includes: UK & Ireland. General risk appetite: Medium. Typically invests in growth-stage companies. Keen interest in disruptive technologies.,105,,,43.0,Rachel Davis,wwiggins@bean.com,https://www.schmidt.com/
